0	1	2		
3.885000			3.093159	11.846757
3.890000	12.977872	28.434848		
3.895000			3.093167	11.885777
3.900000	13.008804	28.554097		
3.905000			3.093176	11.924896
3.910000	13.039736	28.673738		
3.915000			3.093185	11.964116
3.920000	13.070668	28.793773		
3.925000			3.093193	12.003435
3.930000	13.101600	28.914201		
3.935000			3.093202	12.042854
3.940000	13.132532	29.035025		
3.945000			3.093210	12.082373
3.950000	13.163464	29.156245		
3.955000			3.093218	12.121992
3.960000	13.194396	29.277862		
3.965000			3.093227	12.161711
3.970000	13.225328	29.399877		
3.975000			3.093235	12.201529
3.980000	13.256261	29.522292		
3.985000			3.093243	12.241447
3.990000	13.287193	29.645107		
3.995000			3.093251	12.281466
4.000000	13.318126	29.768322		
4.005000			3.093259	12.321584
4.010000	13.349059	29.891940		
4.015000			3.093267	12.361802
4.020000	13.379991	30.015962		
4.025000			3.093274	12.402120
4.030000	13.410924	30.140387		
4.035000			3.093282	12.442537
4.040000	13.441857	30.265218		
4.045000			3.093290	12.483055
4.050000	13.472790	30.390454		
4.055000			3.093297	12.523672
4.060000	13.503723	30.516098		
4.065000			3.093305	12.564390
4.070000	13.534656	30.642150		
4.075000			3.093312	12.605207
4.080000	13.565589	30.768611		
4.085000			3.093320	12.646124
4.090000	13.596523	30.895483		
4.095000			3.093327	12.687141
4.100000	13.627456	31.022765		
4.105000			3.093334	12.728258
4.110000	13.658389	31.150460		
4.115000			3.093341	12.769474
4.120000	13.689323	31.278568		
4.125000			3.093348	12.810791
4.130000	13.720257	31.407090		
4.135000			3.093355	12.852207
4.140000	13.751190	31.536027		
4.145000			3.093362	12.893723
4.150000	13.782124	31.665381		
4.155000			3.093369	12.935340
4.160000	13.813058	31.795151		
4.165000			3.093376	12.977056
4.170000	13.843991	31.925340		
4.175000			3.093383	13.018872
4.180000	13.874925	32.055948		
4.185000			3.093390	13.060787
4.190000	13.905859	32.186976		
4.195000			3.093396	13.102803
4.200000	13.936793	32.318425		
4.205000			3.093403	13.144919
4.210000	13.967727	32.450296		
4.215000			3.093409	13.187134
4.220000	13.998662	32.582591		
4.225000			3.093416	13.229450
4.230000	14.029596	32.715310		
4.235000			3.093422	13.271865
4.240000	14.060530	32.848453		
4.245000			3.093429	13.314380
4.250000	14.091464	32.982023		
4.255000			3.093435	13.356995
4.260000	14.122399	33.116020		
4.265000			3.093441	13.399710
4.270000	14.153333	33.250446		
4.275000			3.093447	13.442525
4.280000	14.184268	33.385300		
4.285000			3.093453	13.485439
4.290000	14.215202	33.520585		
4.295000			3.093459	13.528454
