Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
69.6 -0.249955 -0.828381
69.7 -0.291266 -0.781978
69.8 -0.330261 -0.729817
69.9 -0.366655 -0.672375
70 -0.400182 -0.610176
70.1 -0.430607 -0.543785
70.2 -0.457721 -0.473808
70.3 -0.481343 -0.40088
70.4 -0.501328 -0.325661
70.5 -0.517561 -0.248833
70.6 -0.529962 -0.171088
70.7 -0.538486 -0.0931221
70.8 -0.54312 -0.0156337
70.9 -0.543891 0.0606888
71 -0.540854 0.135171
71.1 -0.534103 0.207159
71.2 -0.523762 0.276028
71.3 -0.509987 0.341184
71.4 -0.492962 0.402074
71.5 -0.472901 0.458189
71.6 -0.450041 0.509068
71.7 -0.424645 0.554303
71.8 -0.396993 0.593547
71.9 -0.367385 0.626509
72 -0.336134 0.652964
72.1 -0.303564 0.672751
72.2 -0.270008 0.685775
72.3 -0.235803 0.692009
72.4 -0.201288 0.691494
72.5 -0.166799 0.684335
72.6 -0.132669 0.670704
72.7 -0.099219 0.650837
72.8 -0.0667608 0.625028
72.9 -0.0355905 0.593632
73 -0.00598683 0.557054
73.1 0.0217919 0.515751
73.2 0.04751 0.470223
73.3 0.0709568 0.421012
73.4 0.0919488 0.368691
73.5 0.110331 0.313862
73.6 0.125978 0.257149
73.7 0.138796 0.199192
73.8 0.148724 0.140637
73.9 0.155731 0.0821352
74 0.15982 0.0243321
74.1 0.161027 -0.0321381
74.2 0.159417 -0.0866585
74.3 0.155088 -0.138636
74.4 0.148167 -0.187507
74.5 0.138809 -0.232745
74.6 0.127195 -0.273862
74.7 0.113531 -0.310417
74.8 0.0980441 -0.342021
74.9 0.0809818 -0.368336
75 0.0626076 -0.389083
75.1 0.0431994 -0.404045
75.2 0.0230456 -0.413066
75.3 0.00244273 -0.416054
75.4 -0.0183084 -0.412982
75.5 -0.0389056 -0.403889
75.6 -0.0590486 -0.388879
75.7 -0.0784422 -0.368119
75.8 -0.0967997 -0.341839
75.9 -0.113846 -0.310327
76 -0.129319 -0.27393
76.1 -0.142977 -0.233046
76.2 -0.154595 -0.188123
76.3 -0.163973 -0.139653
76.4 -0.170932 -0.0881678
76.5 -0.175323 -0.0342336
76.6 -0.177023 0.0215562
76.7 -0.175941 0.0785858
76.8 -0.172015 0.136224
76.9 -0.165213 0.193829
77 -0.155539 0.250758
77.1 -0.143025 0.306372
77.2 -0.127738 0.360041
77.3 -0.109774 0.411153
77.4 -0.0892614 0.45912
77.5 -0.0663567 0.503383
77.6 -0.0412448 0.543416
77.7 -0.0141368 0.578738
77.8 0.0147324 0.60891
77.9 0.0451057 0.633545
78 0.0767071 0.65231
78.1 0.109244 0.66493
78.2 0.142409 0.67119
78.3 0.175885 0.67094
78.4 0.209349 0.664094
78.5 0.24247 0.650631
78.6 0.274918 0.630599
78.7 0.306367 0.604111
78.8 0.336494 0.571345
78.9 0.364986 0.532542
79 0.391542 0.488007
79.1 0.415876 0.438102
79.2 0.43772 0.383244
79.3 0.456828 0.323902
79.4 0.472975 0.260592
79.5 0.485964 0.193872
79.6 0.495625 0.124336
79.7 0.501818 0.052609
79.8 0.504433 -0.0206604
79.9 0.503394 -0.094804
80 0.498656 -0.169142
80.1 0.490211 -0.242991
80.2 0.478082 -0.315667
80.3 0.462329 -0.386495
80.4 0.443044 -0.454816
80.5 0.420351 -0.519992
80.6 0.394408 -0.581412
80.7 0.365403 -0.638499
80.8 0.33355 -0.690715
80.9 0.299094 -0.737568
81 0.262302 -0.778615
81.1 0.223463 -0.813467
81.2 0.182887 -0.841792
81.3 0.140899 -0.86332
81.4 0.0978376 -0.877845
81.5 0.054053 -0.885226
81.6 0.00990115 -0.88539
81.7 -0.034258 -0.878332
81.8 -0.0780642 -0.864115
81.9 -0.12116 -0.842869
82 -0.163196 -0.814792
82.1 -0.203831 -0.780143
82.2 -0.242736 -0.739246
82.3 -0.279601 -0.692483
82.4 -0.314133 -0.64029
82.5 -0.346061 -0.583155
82.6 -0.375139 -0.521611
82.7 -0.401147 -0.45623
82.8 -0.423894 -0.387624
82.9 -0.443218 -0.316429
83 -0.458991 -0.243306
83.1 -0.471117 -0.168933
83.2 -0.479533 -0.0939975
83.3 -0.484212 -0.0191892
83.4 -0.48516 0.054805
83.5 -0.482417 0.127309
83.6 -0.476059 0.197663
83.7 -0.466192 0.265232
83.8 -0.452955 0.329408
83.9 -0.436517 0.389621
84 -0.417077 0.44534
84.1 -0.394859 0.496082
84.2 -0.37011 0.541413
84.3 -0.343102 0.580955
84.4 -0.314121 0.614386
84.5 -0.283475 0.641449
84.6 -0.251479 0.661949
84.7 -0.218461 0.675756
84.8 -0.184756 0.682808
84.9 -0.1507 0.683108
85 -0.11663 0.67673
85.1 -0.0828782 0.663809
85.2 -0.0497722 0.644548
85.3 -0.0176275 0.619211
85.4 0.0132527 0.588122
85.5 0.0425816 0.55166
85.6 0.0700913 0.510256
85.7 0.0955353 0.46439
85.8 0.118691 0.414585
85.9 0.139363 0.361398
86 0.157381 0.305422
86.1 0.172607 0.247272
86.2 0.184932 0.187584
86.3 0.194281 0.127006
86.4 0.200608 0.0661925
86.5 0.203901 0.00579814
86.6 0.204183 -0.0535306
86.7 0.201506 -0.11116
86.8 0.195955 -0.166478
86.9 0.187645 -0.218897
87 0.176721 -0.267862
87.1 0.163355 -0.312857
87.2 0.147745 -0.353408
87.3 0.130114 -0.389088
87.4 0.110704 -0.419525
87.5 0.0897759 -0.4444
87.6 0.0676082 -0.463454
87.7 0.0444909 -0.47649
87.8 0.0207242 -0.483375
