Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: leap-frog
68 -3.53998 -5.65548
68.1 -4.08349 -5.27258
68.2 -4.58625 -4.83695
68.3 -5.04323 -4.35296
68.4 -5.44986 -3.82543
68.5 -5.80208 -3.25963
68.6 -6.09636 -2.66122
68.7 -6.32976 -2.03616
68.8 -6.49994 -1.3907
68.9 -6.60519 -0.731289
69 -6.64445 -0.0645162
69.1 -6.61733 0.602957
69.2 -6.5241 1.26446
69.3 -6.36567 1.91339
69.4 -6.14363 2.54325
69.5 -5.86019 3.14775
69.6 -5.51818 3.72085
69.7 -5.121 4.25682
69.8 -4.67264 4.75029
69.9 -4.17755 5.19634
70 -3.64068 5.59051
70.1 -3.06739 5.92885
70.2 -2.46342 6.20797
70.3 -1.83479 6.42509
70.4 -1.18777 6.57803
70.5 -0.528846 6.66525
70.6 0.135416 6.68588
70.7 0.798373 6.6397
70.8 1.4534 6.52719
70.9 2.09396 6.34944
71 2.71364 6.10824
71.1 3.30625 5.80599
71.2 3.86588 5.44571
71.3 4.38691 5.03099
71.4 4.86415 4.56597
71.5 5.29283 4.05529
71.6 5.66866 3.50406
71.7 5.98787 2.91778
71.8 6.24728 2.30231
71.9 6.44429 1.66379
72 6.57692 1.0086
72.1 6.64385 0.34329
72.2 6.64441 -0.325494
72.3 6.57858 -0.99107
72.4 6.44701 -1.64679
72.5 6.25103 -2.28609
72.6 5.99257 -2.9026
72.7 5.67423 -3.49014
72.8 5.29917 -4.04285
72.9 4.87114 -4.5552
73 4.39442 -5.02206
73.1 3.87376 -5.43877
73.2 3.31437 -5.80117
73.3 2.72182 -6.10563
73.4 2.10205 -6.34909
73.5 1.46124 -6.52914
73.6 0.805787 -6.64396
73.7 0.142246 -6.69239
73.8 -0.522754 -6.67397
73.9 -1.18257 -6.58885
74 -1.83061 -6.4379
74.1 -2.46039 -6.22261
74.2 -3.06563 -5.94514
74.3 -3.64028 -5.60825
74.4 -4.17858 -5.2153
74.5 -4.67516 -4.77022
74.6 -5.12506 -4.27745
74.7 -5.52378 -3.74191
74.8 -5.86733 -3.16896
74.9 -6.15228 -2.56431
75 -6.37577 -1.93401
75.1 -6.53557 -1.28435
75.2 -6.63008 -0.621821
75.3 -6.65835 0.0469554
75.4 -6.6201 0.715297
75.5 -6.5157 1.37653
75.6 -6.34619 2.02404
75.7 -6.11327 2.65136
75.8 -5.81925 3.25221
75.9 -5.46708 3.82061
76 -5.06027 4.35086
76.1 -4.60288 4.83766
76.2 -4.09948 5.27615
76.3 -3.55509 5.66194
76.4 -2.97515 5.99118
76.5 -2.36547 6.26057
76.6 -1.73212 6.46742
76.7 -1.08143 6.60966
76.8 -0.419906 6.68586
76.9 0.245843 6.69526
77 0.909166 6.63777
77.1 1.56344 6.51395
77.2 2.20211 6.32504
77.3 2.81882 6.07292
77.4 3.40739 5.76011
77.5 3.96194 5.38973
77.6 4.47692 4.96549
77.7 4.9472 4.49161
77.8 5.36807 3.97283
77.9 5.73533 3.41433
78 6.04529 2.8217
78.1 6.29487 2.20084
78.2 6.48156 1.55797
78.3 6.6035 0.899503
78.4 6.65947 0.232021
78.5 6.6489 -0.437806
78.6 6.5719 -1.10329
78.7 6.42923 -1.75777
78.8 6.22232 -2.39472
78.9 5.95323 -3.00776
79 5.62465 -3.59078
79.1 5.23986 -4.13794
79.2 4.80269 -4.64378
79.3 4.31753 -5.10324
79.4 3.78921 -5.51172
79.5 3.223 -5.86515
79.6 2.62458 -6.15999
79.7 1.99991 -6.39329
79.8 1.35523 -6.56272
79.9 0.696987 -6.66658
80 0.0317571 -6.70384
80.1 -0.633815 -6.67411
80.2 -1.29308 -6.5777
80.3 -1.93944 -6.41556
80.4 -2.56646 -6.18931
80.5 -3.16785 -5.90121
80.6 -3.73761 -5.55414
80.7 -4.27004 -5.15156
80.8 -4.75984 -4.69749
80.9 -5.20208 -4.19647
81 -5.59237 -3.65351
81.1 -5.9268 -3.07402
81.2 -6.20202 -2.46379
81.3 -6.41528 -1.82893
81.4 -6.56444 -1.17577
81.5 -6.64803 -0.510841
81.6 -6.66519 0.159213
81.7 -6.61576 0.827698
81.8 -6.50023 1.48794
81.9 -6.31974 2.13333
82 -6.07611 2.75742
82.1 -5.77175 3.35399
82.2 -5.40972 3.91706
82.3 -4.99363 4.44101
82.4 -4.52763 4.9206
82.5 -4.01638 5.35104
82.6 -3.46498 5.72803
82.7 -2.87895 6.04779
82.8 -2.26413 6.30714
82.9 -1.62667 6.50348
83 -0.972946 6.63484
83.1 -0.309477 6.69991
83.2 0.357103 6.69804
83.3 1.02013 6.62924
83.4 1.67299 6.49421
83.5 2.30915 6.29428
83.6 2.92226 6.03145
83.7 3.50618 5.70836
83.8 4.05509 5.32821
83.9 4.5635 4.89482
84 5.02632 4.41251
84.1 5.43894 3.8861
84.2 5.79722 3.32084
84.3 6.09759 2.72239
84.4 6.33705 2.09672
84.5 6.51319 1.45008
84.6 6.62426 0.78894
84.7 6.66915 0.119898
84.8 6.6474 -0.55036
84.9 6.55923 -1.21514
85 6.40553 -1.86779
85.1 6.18782 -2.50179
85.2 5.90827 -3.11081
85.3 5.56969 -3.68877
85.4 5.17545 -4.22988
85.5 4.72949 -4.72875
85.6 4.23627 -5.18037
85.7 3.7007 -5.58025
85.8 3.12815 -5.92438
85.9 2.52433 -6.20932
86 1.89527 -6.43223
86.1 1.24726 -6.59087
86.2 0.586772 -6.68366
86.3 -0.0795919 -6.70967
86.4 -0.745176 -6.66865
86.5 -1.40333 -6.56099
86.6 -2.04748 -6.38777
86.7 -2.67118 -6.15072
86.8 -3.26821 -5.85221
86.9 -3.83259 -5.49522
87 -4.3587 -5.08332
87.1 -4.84127 -4.62061
87.2 -5.27547 -4.11173
87.3 -5.65697 -3.56175
87.4 -5.98196 -2.97618
87.5 -6.24719 -2.36085
87.6 -6.45 -1.72192
87.7 -6.58837 -1.06578
87.8 -6.66092 -0.398969
87.9 -6.66691 0.271839
88 -6.60629 0.939945
88.1 -6.47967 1.59867
88.2 -6.28829 2.24144
88.3 -6.03409 2.86182
88.4 -5.71958 3.45363
88.5 -5.34793 4.01093
88.6 -4.92283 4.52817
88.7 -4.44854 5.00018
88.8 -3.92979 5.42223
88.9 -3.37177 5.79012
89 -2.78004 6.10015
89.1 -2.16053 6.34925
89.2 -1.51942 6.5349
89.3 -0.863119 6.65527
89.4 -0.19818 6.70914
89.5 0.468751 6.69598
89.6 1.13101 6.61591
89.7 1.78198 6.46973
89.8 2.41516 6.25891
89.9 3.02421 5.98555
90 3.60307 5.65237
90.1 4.14593 5.26271
90.2 4.64737 4.82047
90.3 5.10239 4.33005
90.4 5.50643 3.79636
90.5 5.85547 3.22472
90.6 6.146 2.62086
90.7 6.37513 1.9908
90.8 6.54057 1.34084
90.9 6.64066 0.677465
91 6.67439 0.00731483
91.1 6.64145 -0.662919
91.2 6.54214 -1.32654
91.3 6.37746 -1.97692
91.4 6.14906 -2.60755
91.5 5.85922 -3.21214
91.6 5.51083 -3.78465
91.7 5.10737 -4.31934
91.8 4.65288 -4.81089
91.9 4.15188 -5.25438
92 3.6094 -5.64537
92.1 3.03085 -5.97996
92.2 2.422 -6.25481
92.3 1.78895 -6.46717
92.4 1.13801 -6.6149
92.5 0.47569 -6.69655
