Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: Verlet
0 0 1
3.98 -0.750249 -0.668636 0.504973
3.99 -0.756823 -0.661166 0.504961
4 -0.763321 -0.653631 0.504946
4.01 -0.769743 -0.64603 0.50493
4.02 -0.776089 -0.638365 0.504912
4.03 -0.782356 -0.630636 0.504891
4.04 -0.788545 -0.622844 0.504869
4.05 -0.794656 -0.614989 0.504845
4.06 -0.800687 -0.607073 0.504819
4.07 -0.806638 -0.599096 0.504791
4.08 -0.812508 -0.59106 0.504761
4.09 -0.818297 -0.582964 0.504729
4.1 -0.824004 -0.57481 0.504695
4.11 -0.829629 -0.566598 0.504659
4.12 -0.835171 -0.55833 0.504622
4.13 -0.840629 -0.550006 0.504582
4.14 -0.846003 -0.541627 0.504541
4.15 -0.851293 -0.533194 0.504498
4.16 -0.856498 -0.524708 0.504453
4.17 -0.861617 -0.516169 0.504407
4.18 -0.866649 -0.507578 0.504358
4.19 -0.871595 -0.498937 0.504308
4.2 -0.876454 -0.490246 0.504256
4.21 -0.881225 -0.481505 0.504203
4.22 -0.885908 -0.472717 0.504148
4.23 -0.890503 -0.463881 0.504091
4.24 -0.895008 -0.454999 0.504032
4.25 -0.899424 -0.446072 0.503972
4.26 -0.90375 -0.437099 0.50391
4.27 -0.907986 -0.428084 0.503847
4.28 -0.912131 -0.419025 0.503782
4.29 -0.916185 -0.409924 0.503716
4.3 -0.920147 -0.400783 0.503648
4.31 -0.924017 -0.391601 0.503579
4.32 -0.927794 -0.38238 0.503508
4.33 -0.931479 -0.373121 0.503436
4.34 -0.935071 -0.363825 0.503363
4.35 -0.938569 -0.354492 0.503288
4.36 -0.941973 -0.345124 0.503212
4.37 -0.945283 -0.335721 0.503135
4.38 -0.948499 -0.326285 0.503056
4.39 -0.95162 -0.316816 0.502976
4.4 -0.954645 -0.307315 0.502895
4.41 -0.957575 -0.297784 0.502813
4.42 -0.96041 -0.288223 0.50273
4.43 -0.963148 -0.278633 0.502645
4.44 -0.96579 -0.269015 0.50256
4.45 -0.968335 -0.259371 0.502473
4.46 -0.970784 -0.2497 0.502386
4.47 -0.973135 -0.240004 0.502297
4.48 -0.97539 -0.230285 0.502208
4.49 -0.977546 -0.220542 0.502118
4.5 -0.979605 -0.210777 0.502027
4.51 -0.981566 -0.200992 0.501935
4.52 -0.983429 -0.191186 0.501842
4.53 -0.985193 -0.181361 0.501749
4.54 -0.986859 -0.171518 0.501655
4.55 -0.988426 -0.161658 0.50156
4.56 -0.989895 -0.151781 0.501465
4.57 -0.991264 -0.141889 0.501369
4.58 -0.992535 -0.131984 0.501272
4.59 -0.993706 -0.122065 0.501175
4.6 -0.994777 -0.112133 0.501078
4.61 -0.995749 -0.102191 0.50098
4.62 -0.996622 -0.0922384 0.500882
4.63 -0.997395 -0.0822766 0.500783
4.64 -0.998068 -0.0723065 0.500684
4.65 -0.998642 -0.0623292 0.500585
4.66 -0.999115 -0.0523456 0.500485
4.67 -0.999489 -0.0423568 0.500386
4.68 -0.999762 -0.0323638 0.500286
4.69 -0.999936 -0.0223676 0.500186
4.7 -1.00001 -0.0123691 0.500086
4.71 -0.999983 -0.00236935 0.499986
4.72 -0.999857 0.00763061 0.499886
4.73 -0.999631 0.0176298 0.499786
4.74 -0.999305 0.0276273 0.499686
4.75 -0.998878 0.0376219 0.499587
4.76 -0.998352 0.0476128 0.499487
4.77 -0.997726 0.057599 0.499388
4.78 -0.997001 0.0675794 0.499289
4.79 -0.996175 0.077553 0.49919
4.8 -0.99525 0.0875189 0.499091
4.81 -0.994226 0.097476 0.498993
4.82 -0.993102 0.107423 0.498896
4.83 -0.991879 0.11736 0.498798
4.84 -0.990556 0.127285 0.498701
4.85 -0.989135 0.137197 0.498605
4.86 -0.987614 0.147096 0.498509
4.87 -0.985995 0.156979 0.498414
4.88 -0.984277 0.166847 0.49832
4.89 -0.982461 0.176699 0.498226
